"","tracking_id","class_code","nearest_ref_id","gene_short_name","tss_id","locus","length","coverage","Dex_FPKM","Dex_conf_lo","Dex_conf_hi","Dex_status","Alb_FPKM","Alb_conf_lo","Alb_conf_hi","Alb_status","Untreated_FPKM","Untreated_conf_lo","Untreated_conf_hi","Untreated_status","Alb_Dex_FPKM","Alb_Dex_conf_lo","Alb_Dex_conf_hi","Alb_Dex_status","Dex_LL14","Dex_LL06","Dex_LL02","Dex_LL10","Alb_LL07","Alb_LL03","Alb_LL11","Alb_LL15","Untreated_LL09","Untreated_LL05","Untreated_LL13","Untreated_LL01","Alb_Dex_LL08","Alb_Dex_LL04","Alb_Dex_LL12","Alb_Dex_LL16"
"SNORD2",0,0,0,0,0,0,0,0,8.67640141333447,0,14.5142948918222,0,10.6317318317312,0,16.0998717114431,0,10.390695626501,0,15.1593944056271,0,11.7361608982381,0,16.4005275897412,0,0,0,0,10.6737507394381,0.519419116796679,1.23365495285832,0,0,0,0,10.3028673609729,11.818026880675,11.3196495433832,12.6764706150257,12.7476832030478,11.2301405551879
"SNORD47",0,0,0,0,0,0,0,0,11.5135302233492,0,15.1627846801896,0,11.0254510510913,0,15.352974474913,0,10.6068955901378,0,14.3737419978177,0,11.7378303883945,0,15.4088372221903,0,9.96153362005371,11.6650471716119,12.2337215245587,11.1748071170501,11.7796660121904,11.1984634587183,11.6226055396404,10.9095256146413,0,10.9061164421623,10.5990573827878,10.3781539396722,12.2461230165968,11.9252948055796,11.0899204887503,12.3264969012033
"SNORD38A",0,0,0,0,0,0,0,0,10.6483485932275,0,16.3516691126755,0,10.48073972103,0,16.9011379480495,0,8.46032073331014,0,14.9241629962284,0,9.46384516355491,0,16.0668081718716,0,0,0,12.5292743676091,10.301015978843,1.19018498998346,0.736638642424909,0,0,0,0,0,10.4572474800495,0,0,10.7930179846819,10.8600161220767
"SNORD36A",0,0,0,0,0,0,0,0,10.8933849650696,0,16.6534469037682,0,10.6937134498106,0,17.0287909995029,0,10.2975926699422,0,16.2285707059739,0,10.1458175406034,0,16.3502883168742,0,10.7478405205724,11.3000836745791,10.6062201212817,9.96254034729338,1.17888670276934,0,1.37130236069274,0,0.601544395639822,0,1.25091307876722,0,0,0.780230297110618,1.32620942563805,0
"SNORD55",0,0,0,0,0,0,0,0,9.33093703986095,0,15.251312271456,0,9.02460779932221,0,15.6299371333766,0,10.3733001966084,0,15.5811270091939,0,9.85441026264543,0,15.834875911686,0,0,0,11.0050981782397,9.36238659998919,0.495646048765415,0,1.02107457881633,0,9.19827804751077,0,10.6121405173047,11.1277686807832,0,11.3752132395564,9.86248548692958,9.92944779617
"FTH1",0,0,0,0,0,0,0,0,12.758633391578,11.0069992259015,13.5267437429997,0,12.5584111462937,7.96651698765205,13.5281854729347,0,12.6529502590155,11.5711837948239,13.264171336329,0,12.7357992730952,10.6778429436402,13.5512516403031,0,12.5976522131079,12.9674892636777,12.7546704136607,12.7710953156158,12.7726609771094,12.5403799311043,12.7104405487672,12.2811679204864,12.9578946529344,12.6254737011351,12.5054419027826,12.6444196324848,12.7200090635772,12.8187319511681,12.7547455633776,12.7184643785362
"QSOX1",0,0,0,0,0,0,0,0,0,0,0,0,11.6115366602959,0,12.8621820852281,0,11.6827312941398,10.0279889076955,12.4332594157393,0,11.5916579142651,3.68151673193886,12.588656083459,0,0,0,0,0,11.5133772410071,11.5718189945749,11.732192869796,11.4167500350344,11.5001696600647,11.6321409560401,11.5358294051149,11.8113626509301,11.6331632595089,11.5920271547573,11.6013111694843,11.3611432725272
"SNORD36B",0,0,0,0,0,0,0,0,10.0415222670562,0,16.2962906979757,0,10.0778838644383,0,16.978196523642,0,10.3218604669723,0,16.4222898411129,0,9.77681791911501,0,16.3696859444441,0,0.880205134598274,0,0.817209011554023,0,0,11.2235311534435,0,10.9345902149089,1.03509599789673,0,0.552328865681952,0,0,0.788693226805456,0.594120454665377,0
"SNORD5",0,0,0,0,0,0,0,0,11.8968999844199,0,13.0875407420273,0,11.4562825352729,0,12.8947647220741,0,11.2810838612844,0,12.6119722924686,0,11.1110704474656,0,12.5103166554018,0,11.7572024718261,11.7247611023586,11.8784992896974,11.9712381703409,10.9771081638663,10.6182937248458,10.3058565523271,12.9134541814274,11.0628219343781,10.6157767494205,9.30989693647398,11.823920485528,11.8900172190462,10.6627306743901,11.7334941627159,11.2157453235928
"SNORD27",0,0,0,0,0,0,0,0,11.0299704470272,0,13.8623080259917,0,8.96991025768207,0,12.9552757462511,0,9.37404180181962,0,12.9907226863377,0,11.2908367567956,0,14.1522848423066,0,0,10.7154043606369,10.6062201212817,12.2833112240871,0.507251704222356,0,0.612600672856861,0,0,0.649974076522176,0.545941688881807,0,10.6141945038558,12.5556484212785,12.0420149907771,10.5247277940451
"SNORD102",0,0,0,0,0,0,0,0,7.96687455004459,0,14.5416955967317,0,10.5752934193974,0,16.3746761317264,0,9.98974927546213,0,15.4850462530786,0,8.78735410047664,0,15.0229052555336,0,0,0,0,9.96254034729338,10.2685186082168,10.9090905301839,11.5986992410182,10.6249964506671,0.608338989364299,0.649974076522176,0.548037053818505,0,0,0,1.0051053100949,0
"FBLN1",0,0,0,0,0,0,0,0,11.706409678252,7.8104238232231,12.6571241416538,0,11.786980180095,0,13.0730386108648,0,11.7312129466071,10.1935500006843,12.458532215546,0,11.8113506082498,0,12.8270131572745,0,11.6024390637416,11.8318693261032,11.6211544330954,11.595961404556,11.8537033184172,11.6903123259188,11.6068955901378,11.7301389331506,11.6527239966066,11.774634712184,11.568174649015,11.6641583610483,11.9051274770937,11.6451765530349,11.7681305536042,11.6866362111735
"TPT1",0,0,0,0,0,0,0,0,12.1595465677324,11.0267585702011,12.7861858900872,0,12.1341407050765,10.0484732507454,12.9533289056096,0,12.076645268832,11.2860147717922,12.5844740056449,0,12.0955091108317,10.7349974531976,12.7830678037676,0,12.134528999488,12.3416327888722,12.3511904713921,12.06592432083,12.1583351335074,12.3792646366282,12.1276236077355,12.1737864272425,11.9844754249041,12.2757113165111,12.1462218017557,12.2348234173914,12.2089872169728,12.2683723991025,12.0068484962287,12.1599060165308
"SNORD73A",0,0,0,0,0,0,0,0,0,0,0,0,11.7410919380687,0,19.1703456478948,0,0,0,0,0,12.7647783100239,0,19.4395711962765,0,0,0,0,0,0,0,0.665378216667938,0,0,0,0,0,0,0,14.0169040232012,14.0839280221364
"SNORD87",0,0,0,0,0,0,0,0,10.4879304505953,0,13.5639827223341,0,10.5587459526753,0,13.9267963289536,0,9.48256395831679,0,12.7810686860254,0,10.6576310740748,0,13.7616862710231,0,9.62081181394283,10.5874681333435,9.4792992855146,11.1556341398909,11.2061047206285,9.84805795681116,9.53576137798666,11.5578896501873,0,9.82234935110044,9.51547119636283,9.03215871294894,12.0766987073008,10.8493503635122,9.33707103072198,9.40400047439415
